dataset,algorithm,feature,importance
Google Local South Carolina,Hybrid_NoCollaborativeAblation,novelty,0.08695652173913045
Google Local South Carolina,Hybrid_NoCollaborativeAblation,popularity,0.06521739130434782
Google Local South Carolina,Hybrid_NoCollaborativeAblation,price_match,0.04347826086956522
Google Local South Carolina,Hybrid_NoCollaborativeAblation,quality,0.10869565217391305
Google Local South Carolina,Hybrid_NoCollaborativeAblation,richness_alignment,0.06521739130434782
Google Local South Carolina,Hybrid_NoCollaborativeAblation,svd,0.0
Google Local South Carolina,Hybrid_NoCollaborativeAblation,tag_overlap,0.10869565217391305
Google Local South Carolina,Hybrid_NoCollaborativeAblation,year_alignment,0.06521739130434782
Google Local South Carolina,Hybrid_NoContentAblation,category_match,0.0
Google Local South Carolina,Hybrid_NoContentAblation,content,0.0
Google Local South Carolina,Hybrid_NoContentAblation,ease,0.47887323943661964
Google Local South Carolina,Hybrid_NoContentAblation,freshness,0.0704225352112676
Google Local South Carolina,Hybrid_NoContentAblation,novelty,0.05633802816901407
Google Local South Carolina,Hybrid_NoContentAblation,popularity,0.04225352112676055
Google Local South Carolina,Hybrid_NoContentAblation,price_match,0.0
Google Local South Carolina,Hybrid_NoContentAblation,quality,0.0704225352112676
Google Local South Carolina,Hybrid_NoContentAblation,richness_alignment,0.0
Google Local South Carolina,Hybrid_NoContentAblation,svd,0.2816901408450704
Google Local South Carolina,Hybrid_NoContentAblation,tag_overlap,0.0
Google Local South Carolina,Hybrid_NoContentAblation,year_alignment,0.0
MovieLens 20M,HybridFeatureRerank,category_match,0.04
MovieLens 20M,HybridFeatureRerank,content,0.12
MovieLens 20M,HybridFeatureRerank,ease,0.34
MovieLens 20M,HybridFeatureRerank,freshness,0.05
MovieLens 20M,HybridFeatureRerank,novelty,0.04
MovieLens 20M,HybridFeatureRerank,popularity,0.03
MovieLens 20M,HybridFeatureRerank,price_match,0.02
MovieLens 20M,HybridFeatureRerank,quality,0.05
MovieLens 20M,HybridFeatureRerank,richness_alignment,0.03
MovieLens 20M,HybridFeatureRerank,svd,0.2
MovieLens 20M,HybridFeatureRerank,tag_overlap,0.05
MovieLens 20M,HybridFeatureRerank,year_alignment,0.03
MovieLens 20M,Hybrid_NoCollaborativeAblation,category_match,0.08695652173913045
MovieLens 20M,Hybrid_NoCollaborativeAblation,content,0.2608695652173913
MovieLens 20M,Hybrid_NoCollaborativeAblation,ease,0.0
MovieLens 20M,Hybrid_NoCollaborativeAblation,freshness,0.10869565217391305
MovieLens 20M,Hybrid_NoCollaborativeAblation,novelty,0.08695652173913045
MovieLens 20M,Hybrid_NoCollaborativeAblation,popularity,0.06521739130434782
MovieLens 20M,Hybrid_NoCollaborativeAblation,price_match,0.04347826086956522
MovieLens 20M,Hybrid_NoCollaborativeAblation,quality,0.10869565217391305
MovieLens 20M,Hybrid_NoCollaborativeAblation,richness_alignment,0.06521739130434782
MovieLens 20M,Hybrid_NoCollaborativeAblation,svd,0.0
MovieLens 20M,Hybrid_NoCollaborativeAblation,tag_overlap,0.10869565217391305
MovieLens 20M,Hybrid_NoCollaborativeAblation,year_alignment,0.06521739130434782
MovieLens 20M,Hybrid_NoContentAblation,category_match,0.0
MovieLens 20M,Hybrid_NoContentAblation,content,0.0
MovieLens 20M,Hybrid_NoContentAblation,ease,0.47887323943661964
MovieLens 20M,Hybrid_NoContentAblation,freshness,0.0704225352112676
MovieLens 20M,Hybrid_NoContentAblation,novelty,0.05633802816901407
MovieLens 20M,Hybrid_NoContentAblation,popularity,0.04225352112676055
MovieLens 20M,Hybrid_NoContentAblation,price_match,0.0
MovieLens 20M,Hybrid_NoContentAblation,quality,0.0704225352112676
MovieLens 20M,Hybrid_NoContentAblation,richness_alignment,0.0
MovieLens 20M,Hybrid_NoContentAblation,svd,0.2816901408450704
MovieLens 20M,Hybrid_NoContentAblation,tag_overlap,0.0
MovieLens 20M,Hybrid_NoContentAblation,year_alignment,0.0
